name,slug
3Com,3com
A10,a10
ADVA,adva
APC,apc
AVM,avm
ActionTec,actiontec
Adtran,adtran
Alcatel-Lucent,alcatel-lucent
Allied,allied
Alpha,alpha
Apple,apple
Arista,arista
Aruba,aruba
Avocent,avocent
Broadcom,broadcom
Brocade,brocade
Calix,calix
Canon,canon
Check,check
Ciena,ciena
Cisco,cisco
Citrix,citrix
Colable,colable
Concurrent Technologies,concurrent-technologies
Corning,corning
CryptoPro,cryptopro
CyberPower,cyberpower
D-link,d-link
Datacom,datacom
Deciso,deciso
Dell,dell
Delta,delta
Digi,digi
Digital,digital
Eaton,eaton
Edgecore,edgecore
Eltex,eltex
Ericsson,ericsson
Extreme,extreme
F5,f5
FS,fs
Factor-TS,factor-ts
Fortinet,fortinet
Fujitsu,fujitsu
GDSYS,gdsys
Generic,generic
HPE,hpe
HPI,hpi
HellermannTyton,hellermanntyton
Huawei,huawei
IBM,ibm
Infinera,infinera
Infoblox,infoblox
Infotecs,infotecs
Intel,intel
Juniper,juniper
Krone,krone
LANCOM,lancom
Lenovo,lenovo
Leviton,leviton
MFB,mfb
Mellanox,mellanox
MikroTik,mikrotik
Mimosa,mimosa
NEC,nec
NetApp,netapp
Netgate,netgate
Netgear,netgear
Netonix,netonix
Nokia,nokia
Nvidia,nvidia
Opengear,opengear
PC,pc
Palo,palo
Panduit,panduit
Parks,parks
Pelican,pelican
Peplink,peplink
PureStorage,purestorage
QCT,qct
QNAP,qnap
Qotom,qotom
RAD,rad
Raritan,raritan
Raspberry,raspberry
Riverbed,riverbed
Rockwell,rockwell
Rohde,rohde
Ruckus,ruckus
SNR,snr
Solid,solid
SonicWall,sonicwall
Sophos,sophos
SunSystems,sunsystems
Supermicro,supermicro
Synology,synology
TP-Link,tp-link
Testing,testing
TrendNet,trendnet
TrippLite,tripplite
Ubiquiti,ubiquiti
V-Solution,v-solution
Vertiv,vertiv
WTI,wti
YAMAHA,yamaha
Yealink,yealink
ZPE,zpe
ZTE,zte
Zyxel,zyxel
ghipsystems,ghipsystems
neousys,neousys
